GEOID,eff_cameras_within_200m,eff_cameras,cameras_within_200m,cameras
36047037300,2.46794325016071,0.5484623002070437,5,2
36047037401,2.7203948665854276,0.6008780086175405,4,0
36047037402,0.7844578536982991,0,1,0
36047037500,2.610264626886658,1.2994787124237541,3,3
36047037700,1.25365847353942,0.06635385762459127,2,0
36047037900,0.9995431365005308,0.5024900734146495,1,1
36047038100,2.2463594818336508,0.16287213886203056,3,0
36047038200,3.299062253506423,1.5813429561531158,5,2
36047038300,1.3300765730774773,0.4176805930466932,1,0
36047038500,1.3388351292513883,0.04320806556702027,1,0
36047038600,1.468749779494253,0.5469997592704002,2,2
36047038700,1.4528412705989702,0.09865923418348208,1,0
36047038800,1.2750856579241439,0.02104609390485855,2,0
36047038900,4.062306615439065,1.063596904560076,7,1
36047039000,1.5957984298373236,0.5923740480035684,2,2
36047039100,3.2234028513088164,0.9655887572691995,4,1
36047039200,3.137037386496617,0.517423664519389,5,0
36047039300,2.5239340639350147,1.419056012989783,2,1
36047039400,4.169084903045559,1.6689197186970515,6,4
36047039500,2.574359899560389,0.874449862935338,3,1
36047039600,2.6434979538324175,1.0518315425785107,3,1
36047039700,3.9699608571474925,1.0368561587422374,6,2
36047039800,2.21089338587205,0,4,0
36047039900,2.9136688569259137,0.5418694683394277,4,0
36047040000,1.3749257241502175,0,2,0
36047040100,2.8714789001724483,0.9212102640111265,4,0
36047040200,3.6534970322371207,1.2748977434995334,5,1
36047040300,1.2122686358433228,6.165014031264512e-4,2,0
36047040400,2.6700262513978537,0.863338816738947,4,1
36047040500,0.7367823548624498,0,0,0
36047040600,1.0652640203567594,0,1,0
36047040700,0.7127979274273949,0,2,0
36047040800,0.44381315696280926,0,0,0
36047040900,1.9115620776103681,0.44552996777805176,1,1
36047041000,0.11774860908378591,0,0,0
36047041100,1.9288221191439554,0.7113928855309478,3,0
36047041300,2.5650936688683093,0.7142688508286111,3,2
36047041401,1.0852727738563102,0,1,0
36047041402,3.5359761646298926,0.7319251873041143,4,1
36047041500,0.5465123270990568,0,0,0
36047041600,3.3748826343683165,0.7433389085990598,2,0
36047041700,0.6465939062414362,0,1,0
36047041800,4.423243751635561,1.269487304974358,5,3
36047041900,1.8371538362987858,0.021948815776218704,2,0
36047042000,3.869398253581957,1.242490168606912,6,1
36047042100,3.2644487282992394,0.5912214652669837,5,2
36047042200,3.542596710718946,1.279904128459959,5,3
36047042300,3.3315647124418453,0.9056513228465801,4,1
36047042400,0.6503197852781478,0,2,0
36047042500,1.8203645704968712,0,3,0
36047042600,2.3523962682026376,1.2303128094349562,4,2
36047042700,2.945357443408762,1.2762745829508042,5,4
36047042800,3.813276502568052,1.170352053098866,7,1
36047042900,5.149941396361964,1.7016708406432102,7,1
36047043000,4.79609739822826,1.5708938648875306,9,4
36047043100,3.0994934485951093,1.0277346085419468,3,1
36047043200,2.0873326122676206,0.9713291783327876,4,2
36047043300,0.8218425683606229,0,1,0
36047043400,1.684117495740839,0.05594278317608945,3,0
36047043500,0.37596892144969607,0,0,0
36047043600,1.871363256500763,0.789938622724916,3,1
36047043700,2.0111971207616013,0.05763041500687831,1,0
36047043800,2.430562959112896,0.5453551951463425,3,0
36047043900,3.3868282842702206,0.8843716780398472,10,0
36047044000,2.1094058039215655,0.6778675134405183,3,2
36047044100,1.0682773285991956,0,1,0
36047044200,1.9530941433758338,0.17301997310769582,2,0
36047044300,3.988760696600036,0.5333411865404866,8,0
36047044400,1.6376984439646742,0.021816066881446314,4,0
36047044500,5.011370478461079,1.4726806366727327,10,5
36047044600,2.1629905533453604,0.4475396171983736,3,0
36047044700,4.937555558697046,1.5512054011800764,7,3
36047044800,1.2112933500551728,0,1,0
36047044900,14.783463998089802,8.90221692364126,24,15
36047045000,1.3163603639636543,0.38044202605912386,1,0
36047045200,1.7026074208768511,0.5849213185910379,3,1
36047045300,6.754535939867926,2.3672197378598168,11,3
