GEOID,NAME,variable,estimate,moe
36005004600,"Census Tract 46, Bronx County, New York",white,95,83
36005004600,"Census Tract 46, Bronx County, New York",black,677,222
36005004600,"Census Tract 46, Bronx County, New York",asian,0,12
36005004600,"Census Tract 46, Bronx County, New York",latino,1189,180
36005004600,"Census Tract 46, Bronx County, New York",med_inc,21360,9874
36005004800,"Census Tract 48, Bronx County, New York",male,2350,332
36005004800,"Census Tract 48, Bronx County, New York",female,2213,264
36005004800,"Census Tract 48, Bronx County, New York",total_pop,4563,414
36005004800,"Census Tract 48, Bronx County, New York",white,28,43
36005004800,"Census Tract 48, Bronx County, New York",black,799,382
36005004800,"Census Tract 48, Bronx County, New York",asian,122,158
36005004800,"Census Tract 48, Bronx County, New York",latino,3484,464
36005004800,"Census Tract 48, Bronx County, New York",med_inc,33403,11507
36005005001,"Census Tract 50.01, Bronx County, New York",male,2290,298
36005005001,"Census Tract 50.01, Bronx County, New York",female,2314,279
36005005001,"Census Tract 50.01, Bronx County, New York",total_pop,4604,388
36005005001,"Census Tract 50.01, Bronx County, New York",white,42,53
36005005001,"Census Tract 50.01, Bronx County, New York",black,1124,280
36005005001,"Census Tract 50.01, Bronx County, New York",asian,48,53
36005005001,"Census Tract 50.01, Bronx County, New York",latino,3308,456
36005005001,"Census Tract 50.01, Bronx County, New York",med_inc,27009,5002
36005005002,"Census Tract 50.02, Bronx County, New York",male,2573,323
36005005002,"Census Tract 50.02, Bronx County, New York",female,3019,390
36005005002,"Census Tract 50.02, Bronx County, New York",total_pop,5592,514
36005005002,"Census Tract 50.02, Bronx County, New York",white,60,59
36005005002,"Census Tract 50.02, Bronx County, New York",black,1019,311
36005005002,"Census Tract 50.02, Bronx County, New York",asian,54,84
36005005002,"Census Tract 50.02, Bronx County, New York",latino,4418,488
36005005002,"Census Tract 50.02, Bronx County, New York",med_inc,31795,5159
36005005100,"Census Tract 51, Bronx County, New York",male,2482,345
36005005100,"Census Tract 51, Bronx County, New York",female,3255,417
36005005100,"Census Tract 51, Bronx County, New York",total_pop,5737,559
36005005100,"Census Tract 51, Bronx County, New York",white,0,17
36005005100,"Census Tract 51, Bronx County, New York",black,1744,422
36005005100,"Census Tract 51, Bronx County, New York",asian,34,54
36005005100,"Census Tract 51, Bronx County, New York",latino,3959,591
36005005100,"Census Tract 51, Bronx County, New York",med_inc,19115,4154
36005005200,"Census Tract 52, Bronx County, New York",male,820,144
36005005200,"Census Tract 52, Bronx County, New York",female,1136,141
36005005200,"Census Tract 52, Bronx County, New York",total_pop,1956,219
36005005200,"Census Tract 52, Bronx County, New York",white,0,12
36005005200,"Census Tract 52, Bronx County, New York",black,505,157
36005005200,"Census Tract 52, Bronx County, New York",asian,8,12
36005005200,"Census Tract 52, Bronx County, New York",latino,1430,217
36005005200,"Census Tract 52, Bronx County, New York",med_inc,21140,5522
36005005300,"Census Tract 53, Bronx County, New York",male,2015,343
36005005300,"Census Tract 53, Bronx County, New York",female,2873,258
36005005300,"Census Tract 53, Bronx County, New York",total_pop,4888,411
36005005300,"Census Tract 53, Bronx County, New York",white,56,59
36005005300,"Census Tract 53, Bronx County, New York",black,2399,350
36005005300,"Census Tract 53, Bronx County, New York",asian,7,11
36005005300,"Census Tract 53, Bronx County, New York",latino,2365,429
36005005300,"Census Tract 53, Bronx County, New York",med_inc,16583,3673
36005005400,"Census Tract 54, Bronx County, New York",male,2611,364
36005005400,"Census Tract 54, Bronx County, New York",female,2713,346
36005005400,"Census Tract 54, Bronx County, New York",total_pop,5324,556
36005005400,"Census Tract 54, Bronx County, New York",white,78,106
36005005400,"Census Tract 54, Bronx County, New York",black,1301,402
36005005400,"Census Tract 54, Bronx County, New York",asian,129,93
36005005400,"Census Tract 54, Bronx County, New York",latino,3581,712
36005005400,"Census Tract 54, Bronx County, New York",med_inc,35189,5145
36005005600,"Census Tract 56, Bronx County, New York",male,1052,177
36005005600,"Census Tract 56, Bronx County, New York",female,1227,143
36005005600,"Census Tract 56, Bronx County, New York",total_pop,2279,251
36005005600,"Census Tract 56, Bronx County, New York",white,55,38
36005005600,"Census Tract 56, Bronx County, New York",black,552,177
36005005600,"Census Tract 56, Bronx County, New York",asian,47,48
36005005600,"Census Tract 56, Bronx County, New York",latino,1542,203
36005005600,"Census Tract 56, Bronx County, New York",med_inc,27153,8749
36005005902,"Census Tract 59.02, Bronx County, New York",male,1322,208
36005005902,"Census Tract 59.02, Bronx County, New York",female,1429,203
36005005902,"Census Tract 59.02, Bronx County, New York",total_pop,2751,273
36005005902,"Census Tract 59.02, Bronx County, New York",white,133,77
36005005902,"Census Tract 59.02, Bronx County, New York",black,622,183
36005005902,"Census Tract 59.02, Bronx County, New York",asian,42,49
36005005902,"Census Tract 59.02, Bronx County, New York",latino,1826,361
36005005902,"Census Tract 59.02, Bronx County, New York",med_inc,30844,5505
36005006000,"Census Tract 60, Bronx County, New York",male,659,159
36005006000,"Census Tract 60, Bronx County, New York",female,727,179
36005006000,"Census Tract 60, Bronx County, New York",total_pop,1386,316
36005006000,"Census Tract 60, Bronx County, New York",white,9,8
36005006000,"Census Tract 60, Bronx County, New York",black,264,173
36005006000,"Census Tract 60, Bronx County, New York",asian,36,38
36005006000,"Census Tract 60, Bronx County, New York",latino,1027,301
36005006000,"Census Tract 60, Bronx County, New York",med_inc,34898,5954
36005006100,"Census Tract 61, Bronx County, New York",male,1640,289
36005006100,"Census Tract 61, Bronx County, New York",female,2080,344
36005006100,"Census Tract 61, Bronx County, New York",total_pop,3720,417
36005006100,"Census Tract 61, Bronx County, New York",white,113,94
36005006100,"Census Tract 61, Bronx County, New York",black,2529,512
36005006100,"Census Tract 61, Bronx County, New York",asian,16,26
36005006100,"Census Tract 61, Bronx County, New York",latino,1021,348
36005006100,"Census Tract 61, Bronx County, New York",med_inc,45361,3720
36005006200,"Census Tract 62, Bronx County, New York",male,3288,508
36005006200,"Census Tract 62, Bronx County, New York",female,3945,488
36005006200,"Census Tract 62, Bronx County, New York",total_pop,7233,670
36005006200,"Census Tract 62, Bronx County, New York",white,117,159
36005006200,"Census Tract 62, Bronx County, New York",black,2488,609
36005006200,"Census Tract 62, Bronx County, New York",asian,148,152
36005006200,"Census Tract 62, Bronx County, New York",latino,4425,541
36005006200,"Census Tract 62, Bronx County, New York",med_inc,25206,6611
36005006300,"Census Tract 63, Bronx County, New York",male,2428,263
36005006300,"Census Tract 63, Bronx County, New York",female,2154,254
36005006300,"Census Tract 63, Bronx County, New York",total_pop,4582,356
36005006300,"Census Tract 63, Bronx County, New York",white,462,159
36005006300,"Census Tract 63, Bronx County, New York",black,1163,304
