fips,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME.x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,borough,geometry,NAME.y,male,female,total_pop,white,black,asian,latino,med_inc,otherrace,county,tract_race,eff_cameras_within_200m,eff_cameras,cameras_within_200m,cameras,n_stops,n_2019,n_2020,n_black,stop_rate,surv
36081,36,081,064600,36081064600,646,Census Tract 646,G5020,S,407308,0,+40.6727740,-073.7423254,Queens,"list(list(c(1054234.77357718, 1054308.07147935, 1054573.41669836, 1054770.31151664, 1055014.74572128, 1055251.67592749, 1055498.88855306, 1055744.99615428, 1055979.43872184, 1056226.10464907, 1056472.49231045, 1056708.32739036, 1056872.22132032, 1056943.33463192, 1057177.50857761, 1057413.35340311, 1057509.56985383, 1057418.85362106, 1057246.1150304, 1057155.87179976, 1057108.7541893, 1057055.80415354, 1056997.57316817, 1056935.1511966, 1056865.54668039, 1056792.30265872, 1056598.36431879, 1056363.35006913, 
1056264.45573976, 1056127.22510474, 1055892.21083935, 1055644.69856134, 1055400.24540701, 1055164.68621249, 1054918.01526534, 1054671.90148086, 1054435.79520235, 1054190.24082174, 1053942.47175713, 1054234.77357718, 185177.58025125, 185154.11002287, 185768.772703218, 185688.82640033, 185572.587085234, 185462.157580054, 185345.931249777, 185228.975520664, 185117.817125462, 185001.232242863, 184885.742025045, 184774.959124611, 184697.11743234, 184663.447374041, 184553.028383368, 184441.159357688, 184362.389621932, 
184088.504421481, 183876.673489514, 183813.373478776, 183707.212133818, 183603.219389614, 183502.489925043, 183411.584976916, 183310.457491126, 183220.249241966, 183323.140759588, 183433.198490513, 183479.539442001, 183544.348196371, 183655.867798885, 183773.182227676, 183888.68648248, 183999.118529032, 184115.714148024, 184232.313883384, 184342.387073717, 184458.993298812, 184574.866991183, 185177.58025125)))","Census Tract 646, Queens County, New York",1477,1499,2976,17,2688,29,114,87823,128,Queens,Black,2.787956728766001,0.07548292699986513,2,0,3,3,0,3,1.0080645161290323,0.9368134169240595
36081,36,081,038400,36081038400,384,Census Tract 384,G5020,S,297515,0,+40.6933415,-073.7476395,Queens,"list(list(c(1053341.23585129, 1053465.89160013, 1053575.58827054, 1053709.66298963, 1053812.71306466, 1053954.26239819, 1054046.50651387, 1054200.24753701, 1054282.51982851, 1054630.99130467, 1054894.9828974, 1055076.06800492, 1055351.02596161, 1055275.36064874, 1055195.84847677, 1055013.18331581, 1054935.39379104, 1054621.40276301, 1054382.31828917, 1054352.10943137, 1054318.21830356, 1054229.87977457, 1054101.2515117, 1053945.73109948, 1053698.83786782, 1053638.74302984, 1053464.88780579, 1053240.74835896, 
1053103.83144839, 1053215.7446246, 1053341.23585129, 192517.738840173, 192563.635080962, 192604.024302622, 192652.863328905, 192689.955641575, 192742.825068993, 192776.6083922, 192832.428939564, 192862.176807416, 192990.335501003, 193084.37058109, 193080.890268798, 193027.408214465, 192730.257064137, 192420.343366205, 191917.398206125, 191775.811342983, 191226.946148293, 190759.182710919, 190656.354256771, 190676.29467022, 190728.13932802, 190807.193229057, 190497.065459673, 191007.514354819, 190978.196170221, 
191456.066462884, 192066.047287348, 192431.446994894, 192472.93386177, 192517.738840173)))","Census Tract 384, Queens County, New York",1171,1240,2411,13,2285,15,98,75114,0,Queens,Black,4.810470502025068,1.3445905175090394,12,1,7,3,4,5,2.903359601824969,1.9952179601928945
36081,36,081,005500,36081005500,55,Census Tract 55,G5020,S,165967,0,+40.7537948,-073.9277888,Queens,"list(list(c(1003561.29227447, 1003932.88357675, 1004155.18782733, 1004377.49428918, 1004598.69444053, 1004820.45148785, 1005042.21071682, 1005263.14189509, 1004856.43342344, 1004763.9067302, 1004635.63344275, 1004623.16647572, 1004224.47661263, 1003993.4077439, 1003934.91291482, 1003725.05959839, 1003511.6032358, 1003297.59538043, 1003561.29227447, 214183.547301869, 214790.459498008, 214653.287421903, 214516.481721985, 214380.40580132, 214243.968041573, 214107.8966478, 213971.0979037, 213306.206830218, 
213291.190823262, 213282.338769571, 213281.235304554, 213274.345939168, 213270.877886166, 213313.09292954, 213457.563594367, 213606.769541698, 213755.976940374, 214183.547301869)))","Census Tract 55, Queens County, New York",530,422,952,236,9,222,454,71628,31,Queens,Latino,2.1754900076154295,0.1335526669253825,7,0,8,2,6,5,8.403361344537815,2.2851785794279724
36081,36,081,028300,36081028300,283,Census Tract 283,G5020,S,177715,0,+40.7511737,-073.8848654,Queens,"list(list(c(1015943.07552149, 1015844.62644567, 1015751.50280122, 1016009.38998429, 1016266.4438235, 1016359.58227504, 1016458.32315822, 1016562.65776831, 1016669.24991048, 1016409.67428441, 1016155.08102554, 1015896.88495499, 1015790.31634777, 1015685.45080229, 1015943.07552149, 213155.295005302, 213863.429206107, 214528.5796464, 214564.256025337, 214601.027045038, 213935.149897788, 213227.018133801, 212483.918492404, 211714.954926776, 211676.719051278, 211641.771493009, 211606.821909018, 212376.153165676, 
213119.255377811, 213155.295005302)))","Census Tract 283, Queens County, New York",3588,3920,7508,1585,69,948,4751,65929,155,Queens,Latino,1.1696567950458296,0.11712738116373116,1,0,17,8,9,4,2.264251465103889,0.15578806540301407
36081,36,081,054900,36081054900,549,Census Tract 549,G5020,S,164280,0,+40.7021910,-073.9078131,Queens,"list(list(c(1009016.96297299, 1009319.89785, 1009639.16340392, 1009895.28695262, 1010215.08637116, 1010421.26069785, 1010627.71656227, 1010833.3413618, 1010512.16252971, 1010256.3199566, 1009937.33616387, 1009677.32444112, 1009570.86406532, 1009334.37924842, 1008918.53552691, 1008704.32445904, 1009016.96297299, 194696.052943459, 195089.111390147, 195499.678585717, 195830.03068211, 196241.69913069, 196083.07248485, 195922.990580709, 195764.731178491, 195350.502852962, 195019.780274979, 194608.841000488, 
194272.65526796, 194257.606532285, 194222.385497531, 194144.357360803, 194292.058672835, 194696.052943459)))","Census Tract 549, Queens County, New York",3520,2917,6437,1399,75,915,4011,75500,37,Queens,Latino,5.035065273842605,2.019291993413472,9,2,12,7,5,1,1.8642224638806897,0.7822068158835801
36081,36,081,014300,36081014300,143,Census Tract 143,G5020,S,136506,0,+40.7662996,-073.9115113,Queens,"list(list(c(1008642.42607521, 1008918.92495921, 1008714.55200855, 1008934.90733974, 1009156.09358748, 1009377.28232906, 1009598.47356445, 1009041.78451732, 1008820.03455979, 1008598.84075298, 1008377.92753665, 1008155.90732227, 1007934.72099363, 1008642.42607521, 219457.105248663, 219399.091441347, 219075.720882288, 218936.404402294, 218799.641114411, 218662.879850465, 218526.120610481, 217624.549613071, 217760.948983813, 217897.715277208, 218033.390871638, 218170.524724309, 218307.29709435, 219457.105248663
)))","Census Tract 143, Queens County, New York",1917,1855,3772,2086,56,556,950,70197,124,Queens,White,1.524664494015072,0.4532206568384452,1,0,7,5,2,0,1.855779427359491,0.4042058573740912
36081,36,081,024700,36081024700,247,Census Tract 247,G5020,S,97621,0,+40.7422779,-073.8994500,Queens,"list(list(c(1011632.5265102, 1011710.97105031, 1011543.92832682, 1011569.5979395, 1011636.69065518, 1011705.16985426, 1011952.19449522, 1012216.93907039, 1012478.61822792, 1012643.27398156, 1012710.08015353, 1012906.6143437, 1012943.48701591, 1012760.27635233, 1012696.6225693, 1012715.50290191, 1012479.15205032, 1012346.85225937, 1012311.43269401, 1012271.29832558, 1012242.79452859, 1012198.17034321, 1012084.52833212, 1012062.35401091, 1012039.0729223, 1012018.56295052, 1011843.39770222, 1011794.61752933, 
1011496.12354727, 1011547.23898638, 1011632.5265102, 209678.32740957, 210147.311311027, 210350.420194887, 210439.710428377, 210408.453473982, 210376.469609236, 210261.985665205, 210162.097928571, 210078.968789589, 210029.611670336, 210008.558646708, 209950.13240974, 209934.874022016, 209737.918863857, 209669.349772262, 209637.675022392, 209381.637982571, 209244.860019038, 209201.099219059, 209160.612015948, 209127.060595043, 209135.024479616, 209157.846818253, 209162.557717397, 209165.81004218, 209169.065559042, 
209196.190710071, 209203.786280785, 209244.254591553, 209377.657497668, 209678.32740957)))","Census Tract 247, Queens County, New York",853,613,1466,214,0,728,513,71591,11,Queens,Asian,1.93048702277959,0.707222851894362,7,4,NA,NA,NA,NA,NA,1.316839715402176
36081,36,081,016100,36081016100,161,Census Tract 161,G5020,S,107696,0,+40.7550819,-073.9145862,Queens,"list(list(c(1007797.09744275, 1008017.48126869, 1008239.52842303, 1008461.30246666, 1008584.11027743, 1008696.10804581, 1008642.42525601, 1008204.27060156, 1007947.92341583, 1007887.52276132, 1007669.15755996, 1007383.20009661, 1007070.96906475, 1007281.48106691, 1007797.09744275, 215116.335432775, 214979.196838341, 214843.51922502, 214706.386045261, 214631.0920131, 214561.61703483, 214497.076148692, 213794.57090844, 213864.27109692, 213866.398191542, 213911.728067668, 213947.887076672, 213935.204179821, 
214281.154606586, 215116.335432775)))","Census Tract 161, Queens County, New York",1273,1024,2297,872,23,412,933,74453,57,Queens,Latino,0.9995431365007508,0.5151152552372776,4,4,6,5,1,2,2.61210274270788,0.4351515613847413
36081,36,081,017800,36081017800,178,Census Tract 178,G5020,S,188705,0,+40.6770911,-073.8087606,Queens,"list(list(c(1035985.92617766, 1036230.10262216, 1036472.88959457, 1036716.78031587, 1036978.9654939, 1037241.1485726, 1037486.97268504, 1037592.56361317, 1037728.09004951, 1037972.80257745, 1038219.45966045, 1038473.58915448, 1038548.94481138, 1038794.19849564, 1038712.99923756, 1038460.5185131, 1038210.81042253, 1037968.03160865, 1037718.6027157, 1037642.66127006, 1037479.13833721, 1037217.5072823, 1036955.03958746, 1037025.62844555, 1037013.80540154, 1036738.56998862, 1036521.87721376, 1036483.96424464, 
1036465.00039199, 1036233.04981369, 1036166.73824392, 1035973.90853088, 1035879.85194494, 1035742.3057618, 1035985.92617766, 185890.77075316, 185981.281262183, 186072.155574685, 186164.856350614, 186262.335559717, 186359.817601114, 186453.623334875, 186493.566842256, 186542.684918412, 186635.764475659, 186726.664846177, 186824.14233592, 186863.658224668, 186218.615493501, 186186.736677864, 186093.632350448, 186000.172481613, 185908.187822526, 185812.183337171, 185784.691633164, 185724.947153751, 
185626.006463246, 185528.159771276, 185338.861691573, 185290.744534393, 185322.938069786, 185348.702661503, 185307.451910756, 185354.773971896, 185381.601343858, 185389.474816613, 185412.016327044, 185423.110502011, 185798.806565209, 185890.77075316)))","Census Tract 178, Queens County, New York",1076,1181,2257,44,714,341,653,72708,505,Queens,Black,2.2116567506002434,0.32836865494757284,2,1,3,0,3,2,1.329198050509526,0.9799099470980254
36081,36,081,027700,36081027700,277,Census Tract 277,G5020,S,174892,0,+40.7526941,-073.8779449,Queens,"list(list(c(1017811.529098, 1018069.40971932, 1018327.56560049, 1018419.92888492, 1018518.72874962, 1018260.55750878, 1018364.39108554, 1018475.19696467, 1018351.92081073, 1018215.90035339, 1017941.64370039, 1017850.24738779, 1017746.15167225, 1017647.65047658, 1017554.47685507, 1017811.529098, 214815.884867774, 214851.947473119, 214888.741872488, 214222.507060042, 213514.383601304, 213478.315852254, 212735.95177226, 211965.908911151, 211948.611773554, 211930.204427766, 211892.295951386, 212663.825395062, 
213406.555603078, 214115.046889828, 214781.28347227, 214815.884867774)))","Census Tract 277, Queens County, New York",4193,3554,7747,589,147,1274,5584,51901,153,Queens,Latino,4.76524896546227,1.594096393427816,10,2,11,5,6,2,1.4199044791532207,0.6151089409400117
