GEOID,NAME,med.income,popn,popn.asian,popn.black,popn.female,popn.hispanic,popn.male,popn.white
36047035602,"Census Tract 356.02, Kings County, New York",45163,5529,137,3,2860,103,2669,5105
36047035700,"Census Tract 357, Kings County, New York",30495,2328,10,1996,1347,373,981,109
36047035900,"Census Tract 359, Kings County, New York",32326,5593,51,4670,3223,693,2370,359
36047036001,"Census Tract 360.01, Kings County, New York",25265,3155,23,28,1726,51,1429,2906
36047036002,"Census Tract 360.02, Kings County, New York",16073,4074,81,15,2386,16,1688,3696
36047036100,"Census Tract 361, Kings County, New York",25694,2787,23,2086,1236,604,1551,292
36047036200,"Census Tract 362, Kings County, New York",42670,3855,799,57,1977,996,1878,2095
36047036300,"Census Tract 363, Kings County, New York",34063,5044,25,4301,2627,792,2417,235
36047036400,"Census Tract 364, Kings County, New York",59712,2443,399,48,1203,278,1240,1637
36047036501,"Census Tract 365.01, Kings County, New York",46538,3417,27,3177,1829,426,1588,19
36047036502,"Census Tract 365.02, Kings County, New York",38750,1415,7,798,776,621,639,226
36047036600,"Census Tract 366, Kings County, New York",48050,4268,1160,87,2184,817,2084,2113
36047036700,"Census Tract 367, Kings County, New York",54432,1281,72,777,594,431,687,126
36047036900,"Census Tract 369, Kings County, New York",35977,5787,95,4131,2743,1225,3044,699
36047037000,"Census Tract 370, Kings County, New York",57888,4231,1211,10,2205,163,2026,2885
36047037100,"Census Tract 371, Kings County, New York",64848,4711,67,3806,2271,806,2440,483
36047037300,"Census Tract 373, Kings County, New York",45179,4486,99,3097,2562,784,1924,906
36047037401,"Census Tract 374.01, Kings County, New York",55341,4376,451,356,2338,151,2038,3069
36047037402,"Census Tract 374.02, Kings County, New York",31832,4937,1086,208,2209,650,2728,2758
36047037500,"Census Tract 375, Kings County, New York",51495,3229,191,1714,1754,670,1475,780
36047037700,"Census Tract 377, Kings County, New York",52367,4541,87,3229,2313,591,2228,595
36047037900,"Census Tract 379, Kings County, New York",46429,4660,44,3762,2574,339,2086,511
36047038100,"Census Tract 381, Kings County, New York",45667,5397,106,4077,3094,690,2303,788
36047038200,"Census Tract 382, Kings County, New York",18169,5740,1525,2415,3466,1968,2274,620
36047038300,"Census Tract 383, Kings County, New York",73641,4720,463,3365,2642,158,2078,624
36047038500,"Census Tract 385, Kings County, New York",79107,3963,219,2787,2052,401,1911,688
36047038600,"Census Tract 386, Kings County, New York",83594,3669,1264,1,1852,1011,1817,1771
36047038700,"Census Tract 387, Kings County, New York",64917,3882,119,2402,2092,667,1790,1049
36047038800,"Census Tract 388, Kings County, New York",64375,4094,538,489,2132,277,1962,2923
36047038900,"Census Tract 389, Kings County, New York",74352,2837,272,256,1419,1436,1418,1424
36047039000,"Census Tract 390, Kings County, New York",70114,2397,63,7,1138,198,1259,2137
36047039100,"Census Tract 391, Kings County, New York",70945,3239,239,386,1572,1984,1667,1470
36047039200,"Census Tract 392, Kings County, New York",64500,2880,199,34,1547,157,1333,2540
36047039300,"Census Tract 393, Kings County, New York",75256,3890,288,783,1767,1883,2123,1863
36047039400,"Census Tract 394, Kings County, New York",46198,2338,19,56,1106,300,1232,2043
36047039500,"Census Tract 395, Kings County, New York",56598,3858,255,1350,1999,1262,1859,1354
36047039600,"Census Tract 396, Kings County, New York",64375,2058,38,0,1030,32,1028,1716
36047039700,"Census Tract 397, Kings County, New York",45685,3553,37,1859,1878,1138,1675,964
36047039800,"Census Tract 398, Kings County, New York",71679,2878,1353,0,1516,598,1362,1022
36047039900,"Census Tract 399, Kings County, New York",51776,3873,23,1546,1943,1908,1930,920
36047040000,"Census Tract 400, Kings County, New York",52125,3003,1348,24,1551,404,1452,1339
36047040100,"Census Tract 401, Kings County, New York",55625,3162,139,1583,1722,952,1440,983
36047040200,"Census Tract 402, Kings County, New York",57404,2988,1486,12,1578,477,1410,1056
36047040300,"Census Tract 403, Kings County, New York",60855,3529,82,2163,1919,964,1610,1042
36047040400,"Census Tract 404, Kings County, New York",61087,2459,1149,36,1196,146,1263,1189
36047040500,"Census Tract 405, Kings County, New York",63438,1513,52,663,781,647,732,282
36047040600,"Census Tract 406, Kings County, New York",52986,3692,1882,41,1906,589,1786,1119
36047040700,"Census Tract 407, Kings County, New York",NA,0,0,0,0,0,0,0
36047040800,"Census Tract 408, Kings County, New York",80169,3646,1828,15,1720,677,1926,1157
36047040900,"Census Tract 409, Kings County, New York",52629,3836,23,1093,1887,2564,1949,1025
36047041000,"Census Tract 410, Kings County, New York",48400,2048,609,19,1034,48,1014,1388
36047041100,"Census Tract 411, Kings County, New York",38214,3034,68,1188,1517,1016,1517,967
36047041200,"Census Tract 412, Kings County, New York",63641,3328,1070,0,1747,341,1581,1836
36047041300,"Census Tract 413, Kings County, New York",63750,3986,223,1631,2124,1967,1862,1261
36047041401,"Census Tract 414.01, Kings County, New York",67972,1541,115,8,819,199,722,1219
36047041402,"Census Tract 414.02, Kings County, New York",52946,1824,0,0,887,171,937,1612
36047041500,"Census Tract 415, Kings County, New York",64844,4353,119,1762,2242,2181,2111,1016
36047041600,"Census Tract 416, Kings County, New York",61414,2338,120,36,1141,236,1197,2086
36047041700,"Census Tract 417, Kings County, New York",24433,3132,177,1166,1642,1906,1490,834
36047041800,"Census Tract 418, Kings County, New York",45536,2960,123,8,1511,428,1449,2520
